sampleID	region	sample	site_name	site_code	region_code	sampleType	filter	primer	runSize
EB810	Waigeo	WGO_17	Arefi	AREF	WG_AREF	water	0.4um	cox1	2x250
EB811	Waigeo	WGO_19	Timindores	TIMI	WG_TIMI	water	0.4um	cox1	2x250
EB812	Waigeo	WGO_10	Arborek	ARBO	WG_ARBO	water	12um	cox1	2x250
EB813	Waigeo	WGO_11	Ruvas	RUVA	WG_RUVA	water	0.4um	cox1	2x250
EB814	Waigeo	WGO_11	Ruvas	RUVA	WG_RUVA	sediment	0.4um	cox1	2x250
EB815	Waigeo	WGO_12	Piaynemo	PIAY	WG_PIAY	water	0.4um	cox1	2x250
EB816	Waigeo	WGO_13	Paniki Besar Island	PANI	WG_PANI	water	0.4um	cox1	2x250
EB817	Waigeo	WGO_17	Arefi	AREF	WG_AREF	water	12um	cox1	2x250
EB818	Waigeo	WGO_02	Yenbuba	YEBB	WG_YEBB	water	0.4um	cox1	2x250
EB819	Waigeo	WGO_02	Yenbuba	YEBB	WG_YEBB	sediment	0.4um	cox1	2x250
EB820	Waigeo	WGO_03	Yenwapnor	YENW	WG_YENW	water	0.4um	cox1	2x250
EB821	Waigeo	WGO_04	Friwen	FRIN	WG_FRIN	sediment	0.4um	cox1	2x250
EB822	Waigeo	WGO_05	Yenbuba 1	YEB1	WG_YEB1	sediment	0.4um	cox1	2x250
EB823	Waigeo	WGO_07	Friwen Wall	FRIW	WG_FRIW	sediment	0.4um	cox1	2x250
EB824	Waigeo	WGO_08	Yenbeser	YENB	WG_YENB	sediment	0.4um	cox1	2x250
EB825	Waigeo	WGO_09	Cape Kri	CKRI	WG_CKRI	sediment	0.4um	cox1	2x250
EB826	Waigeo	WGO_01	Sawandarek	SAWA	WG_SAWA	sediment	0.4um	cox1	2x250
EB827	Waigeo	WGO_12	Piaynemo	PIAY	WG_PIAY	sediment	0.4um	cox1	2x250
EB828	Wakatobi	WK_05	Karang Kapota 1	KKA1	WK_KKA1	water	0.4um	cox1	2x250
EB829	Misool	MIS_01	Barracuda Rock	BARR	MI_BARR	water	0.4um	cox1	2x250
EB830	Misool	MIS_01	Barracuda Rock	BARR	MI_BARR	sediment	0.4um	cox1	2x250
EB831	Misool	MIS_02	Wayil Batan North	WABN	MI_WABN	water	0.4um	cox1	2x250
EB832	Misool	MIS_02	Wayil Batan North	WABN	MI_WABN	sediment	0.4um	cox1	2x250
EB833	Misool	MIS_03	Bantan East	BAEA	MI_BAEA	water	0.4um	cox1	2x250
EB834	Misool	MIS_03	Bantan East	BAEA	MI_BAEA	sediment	0.4um	cox1	2x250
EB835	Misool	MIS_04	Whale Rock Small	WRSM	MI_WRSM	water	0.4um	cox1	2x250
EB836	Misool	MIS_04	Whale Rock Small	WRSM	MI_WRSM	sediment	0.4um	cox1	2x250
EB837	Misool	MIS_05	Warakareket East	WKES	MI_WKES	water	0.4um	cox1	2x250
